metric,value
total_games,60.0
result_win_count,31.0
result_win_pct,51.67
result_loss_count,24.0
result_loss_pct,40.0
result_draw_count,5.0
result_draw_pct,8.33
avg_player_rating,1476.6
min_player_rating,1425.0
max_player_rating,1520.0
rating_first,1456.0
rating_last,1493.0
rating_change,37.0
games_white,28.0
winrate_white_pct,39.29
games_black,32.0
winrate_black_pct,62.5
games_mode_bullet,27.0
winrate_mode_bullet_pct,62.96
games_mode_blitz,20.0
winrate_mode_blitz_pct,35.0
games_mode_rapid,13.0
winrate_mode_rapid_pct,53.85
winrate_as_underdog_pct,31.58
games_as_underdog,19.0
winrate_as_favorite_pct,76.19
games_as_favorite,21.0
